Rural_Area,Quantity,Percentage,country_name,job_name
No,1,0.02,Austria,Data Keyer
No,2,0.04,Austria,Database Security Administrator
No,1,0.02,Austria,"Naval Tactical Data System--Combat Information Center Watch Officer, General"
No,1,0.02,Austria,Database Administration Manager
No,1,0.02,Austria,Data Management Associate
No,1,0.02,Austria,Maintenance Data Analyst
No,1,0.02,Austria,Crime Data Specialist
No,4,0.07,Austria,Data Warehousing Engineer
No,1,0.02,Austria,Geographic Information Systems Data Specialist (GIS Data Specialist)
No,1,0.02,Austria,Field Artillery Automated Tactical Data System Specialist
No,1,0.02,Austria,Database Modeler
No,1,0.02,Austria,Data Base Design Analyst
No,1,0.02,Austria,Database Administration Associate
No,1,0.02,Austria,Automatic Data Processing Systems Security Specialist (ADP Systems Security)
No,1,0.02,Austria,Data Management Information Technology Specialist
No,2,0.04,Austria,Data Officer
No,1,0.02,Austria,Database Coordinator
No,1,0.02,Austria,Data Systems Manager
No,1,0.02,Austria,Automatic Data Processing Planner
No,1,0.02,Austria,Data Communications Software Consultant
No,1,0.02,Austria,Electronic Data Processing Auditor (EDP Auditor)
No,1,0.02,Austria,Data Entry Representative
No,1,0.02,Austria,Data Security Analyst
No,1,0.02,Austria,Database Manager
No,1,0.02,Austria,Data Processing Systems Project Planner
No,1,0.02,Austria,Database Architect
No,1,0.02,Austria,Data Warehousing Manager
No,3,0.05,Austria,Geographic Information Systems Database Administrator (GIS Database Administrator)
No,1,0.02,Austria,Automatic Data Processing Customer Liaison (ADP Customer Liaison)
No,1,0.02,Austria,Database Security Expert
No,1,0.02,Austria,Database Developer
No,2,0.04,Austria,Computer or Data Processing Systems Consultant
No,1,0.02,Belgium,Marketing Database Analyst
No,1,0.02,Belgium,Data Coordinator
No,1,0.02,Belgium,Database Marketing Analyst
No,1,0.02,Belgium,Database Security Administrator
No,1,0.02,Belgium,Flight Data Technician
No,2,0.04,Belgium,Database Tester
No,2,0.04,Belgium,Data Administrator
No,2,0.04,Belgium,Database Engineer
No,1,0.02,Belgium,Data Storage Specialist
No,1,0.02,Belgium,Data Management Associate
No,1,0.02,Belgium,Crime Data Specialist
No,1,0.02,Belgium,Data Collector
No,1,0.02,Belgium,Head of Information Systems and Data Processing
No,1,0.02,Belgium,Clinical Data Coordinator
No,2,0.04,Belgium,Geographic Information Systems Data Specialist (GIS Data Specialist)
No,1,0.02,Belgium,Database Development and Administration Project Manager
No,1,0.02,Belgium,Data Warehouse Analyst
No,1,0.02,Belgium,Database Management System Specialist (DBMS Specialist)
No,1,0.02,Belgium,Data Capture Specialist
No,2,0.04,Belgium,Database Designer
No,2,0.04,Belgium,Database Administration Associate
No,2,0.04,Belgium,Geographic Information Systems Data Manager (GIS Data Manager)
No,1,0.02,Belgium,Health Data Analyst
No,1,0.02,Belgium,Automatic Data Processing Systems Security Specialist (ADP Systems Security)
No,1,0.02,Belgium,Data Management Information Technology Specialist
No,2,0.04,Belgium,Data Officer
No,1,0.02,Belgium,Data Warehouse Specialist
No,1,0.02,Belgium,Database Coordinator
No,1,0.02,Belgium,Automatic Data Processing Planner
No,3,0.05,Belgium,Data Scientist
No,1,0.02,Belgium,Data Security Analyst
No,1,0.02,Belgium,Automatic Data Processing Planner (ADP Planner)
No,2,0.04,Belgium,Database Manager
No,2,0.04,Belgium,Data Processing Systems Project Planner
No,1,0.02,Belgium,Database Architect
No,1,0.02,Belgium,Oracle Database Administrator (Oracle DBA)
No,2,0.04,Belgium,Data Warehousing Manager
No,2,0.04,Belgium,Data Architect
No,1,0.02,Belgium,SQL Database Administrator
No,1,0.02,Belgium,Automatic Data Processing Customer Liaison (ADP Customer Liaison)
No,2,0.04,Belgium,Director of Data Operations
No,1,0.02,Belgium,Data Miner
No,1,0.02,Belgium,Database Consultant
No,2,0.04,Belgium,Data Processing Systems Analyst
No,2,0.04,Belgium,Data Security Administrator
No,1,0.02,Belgium,Reference Data Expert
No,1,0.02,Belgium,Data Entry Associate
No,1,0.02,Bulgaria,Data Reduction Technician
No,1,0.02,Bulgaria,Database Analyst
No,1,0.02,Bulgaria,Data Coordinator
No,1,0.02,Bulgaria,Database Security Administrator
No,1,0.02,Bulgaria,Database Tester
No,1,0.02,Bulgaria,Clinical Data Management Associate Director
No,2,0.04,Bulgaria,Data Administrator
No,1,0.02,Bulgaria,Data Storage Specialist
No,1,0.02,Bulgaria,SCADA Technician (Supervisory Control and Data Acquisition Technician)
No,1,0.02,Bulgaria,Database Administration Manager
No,1,0.02,Bulgaria,Data Management Associate
No,1,0.02,Bulgaria,Data Modeling Specialist
No,2,0.04,Bulgaria,Database Software Technician
No,3,0.05,Bulgaria,Head of Information Systems and Data Processing
No,1,0.02,Bulgaria,Data Warehousing Engineer
No,2,0.04,Bulgaria,Data Warehousing Specialist
No,4,0.07,Bulgaria,Geographic Information Systems Data Specialist (GIS Data Specialist)
No,1,0.02,Bulgaria,Data Recovery Planner
No,1,0.02,Bulgaria,Data Abstractor
No,2,0.04,Bulgaria,Database Modeler
No,1,0.02,Bulgaria,Survey Data Technician
No,1,0.02,Bulgaria,Data Base Design Analyst
No,2,0.04,Bulgaria,Database Designer
No,2,0.04,Bulgaria,Database Administration Associate
No,1,0.02,Bulgaria,Database Design Analyst
No,1,0.02,Bulgaria,Data Officer
No,3,0.05,Bulgaria,Data Warehouse Architect
No,5,0.09,Bulgaria,Data Warehouse Specialist
No,1,0.02,Bulgaria,Data Control Assistant
No,1,0.02,Bulgaria,Database Coordinator
No,1,0.02,Bulgaria,Data Systems Manager
No,2,0.04,Bulgaria,Data Warehouse Developer
No,1,0.02,Bulgaria,Automatic Data Processing Planner
No,1,0.02,Bulgaria,Data Operations Director
No,1,0.02,Bulgaria,Electronic Data Processing Auditor (EDP Auditor)
No,4,0.07,Bulgaria,Internet Database Specialist
No,1,0.02,Bulgaria,Data Security Analyst
No,1,0.02,Bulgaria,Geographic Information Systems Data Administrator (GIS Data Administrator)
No,3,0.05,Bulgaria,"Engineer, System Electronic Data Processing (Engineer, System EDP)"
No,1,0.02,Bulgaria,Automatic Data Processing Planner (ADP Planner)
No,1,0.02,Bulgaria,Data Compiler
No,3,0.05,Bulgaria,Data Processing Manager
No,1,0.02,Bulgaria,Database Development Project Manager
No,1,0.02,Bulgaria,Data Center Manager
No,1,0.02,Bulgaria,Business Database Analyst
No,1,0.02,Bulgaria,Database Architect
No,1,0.02,Bulgaria,Data Center Operator
No,1,0.02,Bulgaria,Data Processing Auditor
No,1,0.02,Bulgaria,Data Communications Analyst
No,2,0.04,Bulgaria,Data Architect
No,2,0.04,Bulgaria,Geographic Information Systems Database Administrator (GIS Database Administrator)
No,2,0.04,Bulgaria,SQL Database Administrator
No,1,0.02,Bulgaria,Director of Data Operations
No,2,0.04,Bulgaria,Data Miner
No,1,0.02,Bulgaria,Database Consultant
No,1,0.02,Bulgaria,Database Security Expert
No,2,0.04,Bulgaria,Data Processing Systems Analyst
No,1,0.02,Bulgaria,Data Security Administrator
No,1,0.02,Bulgaria,"Naval Tactical Data System--Combat Information Center Watch Officer, Carrier Controlled Approach Controller"
No,1,0.02,Bulgaria,Clinical Data Manager
No,1,0.02,Bulgaria,Computer or Data Processing Systems Consultant
No,1,0.02,Cyprus,Database Administrator (DBA)
No,1,0.02,Cyprus,Data Management Associate
No,1,0.02,Cyprus,Data Modeling Specialist
No,1,0.02,Cyprus,Head of Information Systems and Data Processing
No,1,0.02,Cyprus,Data Warehousing Specialist
No,1,0.02,Cyprus,Clinical Trials Data Coordinator
No,1,0.02,Cyprus,Data Systems Manager
No,1,0.02,Cyprus,Data Communications Analyst
No,1,0.02,Czechia,Data Processing Equipment Repairer
No,1,0.02,Czechia,Data Keyer
No,1,0.02,Czechia,Marketing Database Analyst
No,1,0.02,Czechia,Data Coordinator
No,1,0.02,Czechia,Database Marketing Analyst
No,2,0.04,Czechia,Database Security Administrator
No,2,0.04,Czechia,Database Tester
No,2,0.04,Czechia,Data Administrator
No,1,0.02,Czechia,Data Processing Auxiliary Equipment Operator
No,2,0.04,Czechia,Database Engineer
No,1,0.02,Czechia,"Naval Tactical Data System--Combat Information Center Watch Officer, General"
No,1,0.02,Czechia,Data Storage Specialist
No,1,0.02,Czechia,SCADA Technician (Supervisory Control and Data Acquisition Technician)
No,2,0.04,Czechia,Data Modeling Specialist
No,1,0.02,Czechia,Maintenance Data Analyst
No,1,0.02,Czechia,Data Entry Specialist
No,2,0.04,Czechia,Database Software Technician
No,3,0.05,Czechia,Head of Information Systems and Data Processing
No,1,0.02,Czechia,Clinical Data Coordinator
No,1,0.02,Czechia,Data Warehousing Engineer
No,1,0.02,Czechia,Data Warehousing Specialist
No,2,0.04,Czechia,Geographic Information Systems Data Specialist (GIS Data Specialist)
No,2,0.04,Czechia,Data Warehouse Analyst
No,1,0.02,Czechia,Database Management System Specialist (DBMS Specialist)
No,1,0.02,Czechia,Database Designer
No,1,0.02,Czechia,Database Administration Associate
No,1,0.02,Czechia,Geographic Information Systems Data Manager (GIS Data Manager)
No,1,0.02,Czechia,Database Specialist
No,1,0.02,Czechia,Health Data Analyst
No,2,0.04,Czechia,Automatic Data Processing Systems Security Specialist (ADP Systems Security)
No,1,0.02,Czechia,Data Management Information Technology Specialist
No,4,0.07,Czechia,Data Officer
No,1,0.02,Czechia,Data Warehouse Architect
No,1,0.02,Czechia,Data Control Assistant
No,2,0.04,Czechia,Database Coordinator
No,1,0.02,Czechia,Data Warehouse Developer
No,2,0.04,Czechia,Automatic Data Processing Planner
No,1,0.02,Czechia,Data Communications Software Consultant
No,2,0.04,Czechia,Data Operations Director
No,1,0.02,Czechia,Electronic Data Processing Auditor (EDP Auditor)
No,4,0.07,Czechia,Internet Database Specialist
No,2,0.04,Czechia,Data Security Analyst
No,1,0.02,Czechia,Geographic Information Systems Data Administrator (GIS Data Administrator)
No,1,0.02,Czechia,"Engineer, System Electronic Data Processing (Engineer, System EDP)"
No,1,0.02,Czechia,Automatic Data Processing Planner (ADP Planner)
No,1,0.02,Czechia,Data Processing Manager
No,1,0.02,Czechia,Micro Computer Data Processor
No,1,0.02,Czechia,Data Technician
No,1,0.02,Czechia,Database Architect
No,1,0.02,Czechia,Data Center Operator
No,1,0.02,Czechia,Data Processing Auditor
No,1,0.02,Czechia,Data Communications Analyst
No,2,0.04,Czechia,Oracle Database Administrator (Oracle DBA)
No,2,0.04,Czechia,Data Warehousing Manager
No,1,0.02,Czechia,Data Sciences Director
No,1,0.02,Czechia,Data Manager
No,1,0.02,Czechia,Data Architect
No,1,0.02,Czechia,Geographic Information Systems Database Administrator (GIS Database Administrator)
No,1,0.02,Czechia,SQL Database Administrator
No,3,0.05,Czechia,Director of Data Operations
No,3,0.05,Czechia,Database Consultant
No,2,0.04,Czechia,Database Security Expert
No,2,0.04,Czechia,Data Processing Systems Analyst
No,2,0.04,Czechia,Databases Computer Consultant
